Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,6.20000000000001,12.2,20,27.4,31.9,33.2,..
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1.61359095573425,25.3908939361572,42.7000007629395,71.5,97.6999969482422,97.6999969482422,..
Afghanistan,AFG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.882955399169,58.123668031216,58.125201232694,58.123668031216,58.2769881790166,58.8074758904068,..
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,377530,379100,379110,379100,380100,383560,..
Afghanistan,AFG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,72.8045325779037,72.8363324764353,..,..,..,..,..
Afghanistan,AFG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,90.3314917127072,90.176322418136,..,..,..,..,..
Afghanistan,AFG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,..,..,10.7670458242083,14.7990666661461,21.0350603345276,..,..
Afghanistan,AFG,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,..,..,..,..,..,..,..
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..
Afghanistan,AFG,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,..,0.167112756982737,0.443048826766701,0.297527419301841,0.275462123132709,..,..
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,760,1549.99995231628,7110.0001335144,5949.99980926514,6079.99992370605,..,..
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0388886404336861,0.063495466170261,0.252220037661822,0.176278015184889,0.160976451493467,..,..
Afghanistan,AFG,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..,..,..,..
Afghanistan,AFG,"Compulsory education, duration (years)",SE.COM.DURS,6,6,9,9,9,9,9
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,9.94828987,8.56967163,10.10534763,13.24220181,..,..
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,23.89050102,44.99053192,58.90652847,65.80603027,..,..
Afghanistan,AFG,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,..,5.31934786,5.47462463,5.17223978,8.18920326,..,..
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,0.5291841,0.46915734,0.52267283,1.08443093,..,..
Afghanistan,AFG,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,..,3.37097836,2.25547075,2.01440573,3.87310839,..,..
Afghanistan,AFG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,1.27081888,2.4630628,3.04678667,5.38899046,..,..
Afghanistan,AFG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,78.97008514,78.9966507,78.3822937,79.39915466,..,..
Afghanistan,AFG,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,18.86634996,35.54101566,46.17228869,52.24943995,..,..
Afghanistan,AFG,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,..,79.52839499,113.49408867,165.84698503,226.73075846,..,..
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,3.06798005104065
Afghanistan,AFG,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..,..,..,..,..,11.6319198608398
Afghanistan,AFG,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,..,..,..,..,..,4.70488023757935
Afghanistan,AFG,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..,..,..,..,..,..,15.2469596862793
Afghanistan,AFG,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,..,..,..,9.46131038665771
Afghanistan,AFG,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..,..,..,..,..,..,0.305770009756088
Afghanistan,AFG,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..,..,..,..,..,..,..
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..
Afghanistan,AFG,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,..,3.75333288,6.98645619,9.68745171,8.16760669,..,..
