measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Samoa,Both,All ages,Cardiovascular diseases,Percent,2000,0.36831144365954965,0.3986291193332771,0.34050803636102256
Deaths,Albania,Both,All ages,Cardiovascular diseases,Percent,2000,0.45712867480694064,0.47708547050673106,0.4254117245558679
Deaths,Norway,Both,All ages,Self-harm and interpersonal violence,Percent,2000,0.01489930269829339,0.015191732068801133,0.014613133006716753
Deaths,Indonesia,Both,All ages,Maternal and neonatal disorders,Percent,2000,0.07197598960724562,0.08138607138397917,0.0638667459244855
Deaths,Andorra,Both,All ages,Self-harm and interpersonal violence,Percent,2000,0.019662261345524013,0.02304266695393665,0.016427218717331646
Deaths,Central African Republic,Both,All ages,Maternal and neonatal disorders,Percent,2000,0.08401574364013265,0.09528263671599127,0.07343989968445354
Deaths,Central African Republic,Both,All ages,Substance use disorders,Percent,2000,0.0007502243382566184,0.0010068551574585946,0.0005279828703371301
Deaths,Central African Republic,Both,All ages,Diabetes and kidney diseases,Percent,2000,0.017186082706680882,0.019900703580008533,0.014459199703393325
Deaths,Albania,Both,All ages,Maternal and neonatal disorders,Percent,2000,0.04294526247435138,0.048701984040606223,0.03764189927731976
Deaths,Rwanda,Both,All ages,Maternal and neonatal disorders,Percent,2000,0.08109206507706315,0.09347468932040677,0.06940236182016139
Deaths,Rwanda,Both,All ages,Substance use disorders,Percent,2000,0.0008735158946388815,0.0011729513199856684,0.0005999452438149489
Deaths,Rwanda,Both,All ages,Diabetes and kidney diseases,Percent,2000,0.020200202193657823,0.02388978951097878,0.01716331274921249
Deaths,Ecuador,Both,All ages,Self-harm and interpersonal violence,Percent,2000,0.053408137776958985,0.05657118334886427,0.04810771900233371
Deaths,Indonesia,Both,All ages,Substance use disorders,Percent,2000,0.000626816871619733,0.0008868845945889116,0.0005608963799818384
Deaths,Indonesia,Both,All ages,Diabetes and kidney diseases,Percent,2000,0.05440585254927825,0.0587445645304492,0.05068758915473044
Deaths,Albania,Both,All ages,Substance use disorders,Percent,2000,0.002145005539229507,0.002494520440429665,0.001971734440279352
Deaths,Albania,Both,All ages,Diabetes and kidney diseases,Percent,2000,0.023450479488296747,0.024509656044414088,0.022081534779373194
Deaths,Syrian Arab Republic,Both,All ages,Diabetes and kidney diseases,Percent,2000,0.056411408212757176,0.058955690174054796,0.05375436588594783
Deaths,Latvia,Both,All ages,Cardiovascular diseases,Percent,2000,0.5682951523819078,0.5824906982899976,0.5382830571073213
Deaths,Samoa,Both,All ages,Maternal and neonatal disorders,Percent,2000,0.025164628326088963,0.031031475135699208,0.019663917024296432
Deaths,Samoa,Both,All ages,Substance use disorders,Percent,2000,0.002067147047188003,0.002440602640309164,0.0016467655425261049
Deaths,Samoa,Both,All ages,Diabetes and kidney diseases,Percent,2000,0.12013973759248658,0.13627661287256027,0.10517577524106371
Deaths,Togo,Both,All ages,Substance use disorders,Percent,2000,0.0006827568591509312,0.0008464866158937208,0.0005641368130521406
Deaths,Togo,Both,All ages,Diabetes and kidney diseases,Percent,2000,0.020609653012240294,0.023937793015910768,0.0174674395074893
Deaths,Bahamas,Both,All ages,Self-harm and interpersonal violence,Percent,2000,0.037944839405622356,0.04006236028177298,0.03583791932536033
Deaths,Portugal,Both,All ages,Cardiovascular diseases,Percent,2000,0.4037862574534629,0.41702153895985883,0.37663174148626294
Deaths,Cameroon,Both,All ages,Maternal and neonatal disorders,Percent,2000,0.08947300064738585,0.10113058880723935,0.07826041358690623
Deaths,Cameroon,Both,All ages,Substance use disorders,Percent,2000,0.0007527068830902707,0.0009180177871707069,0.000613665329085838
Deaths,Cameroon,Both,All ages,Diabetes and kidney diseases,Percent,2000,0.029301994507595578,0.03470957283612238,0.023847533746499422
Deaths,Dominica,Both,All ages,Maternal and neonatal disorders,Percent,2005,0.018101322852861586,0.02187830177394562,0.014612349336808427
Deaths,Austria,Both,All ages,Cardiovascular diseases,Percent,2000,0.4738774531739638,0.4940268885292755,0.43388852345068885
Deaths,Peru,Both,All ages,Chronic respiratory diseases,Percent,2000,0.030742908789940612,0.036606119255522894,0.027789469646810325
Deaths,Barbados,Both,All ages,Cardiovascular diseases,Percent,2000,0.31432888561050315,0.3289942694130764,0.2911055620391507
Deaths,Algeria,Both,All ages,Chronic respiratory diseases,Percent,2000,0.032621154768441914,0.039133261962581684,0.02762302447722892
Deaths,Niue,Both,All ages,Cardiovascular diseases,Percent,2000,0.3918592196638424,0.4233965408691444,0.3487623942657503
Deaths,Niue,Both,All ages,Chronic respiratory diseases,Percent,2000,0.0756514670128115,0.08768052877515357,0.06161868625019619
Deaths,Latvia,Both,All ages,Maternal and neonatal disorders,Percent,2000,0.0030042252268505047,0.0033144240443531434,0.0026611342350488865
Deaths,Latvia,Both,All ages,Substance use disorders,Percent,2000,0.015922598940212494,0.016779984032039768,0.014928724230184558
Deaths,Latvia,Both,All ages,Diabetes and kidney diseases,Percent,2000,0.011283959545800016,0.011758002759268275,0.010750428029834965
Deaths,Austria,Both,All ages,Substance use disorders,Percent,2000,0.006171348176854158,0.006461818200207157,0.005899162593395423
Deaths,Austria,Both,All ages,Diabetes and kidney diseases,Percent,2000,0.034570294313962156,0.03634760685954999,0.03182856603553329
Deaths,Lao People's Democratic Republic,Both,All ages,Self-harm and interpersonal violence,Percent,2000,0.021674079226026054,0.026644654140094776,0.01652976389644233
Deaths,Iran (Islamic Republic of),Both,All ages,Substance use disorders,Percent,2005,0.010679168202316363,0.011287369056514202,0.009996815856905119
Deaths,Ukraine,Both,All ages,Self-harm and interpersonal violence,Percent,2005,0.029678900333036936,0.030481488552621477,0.02875102623724856
Deaths,Myanmar,Both,All ages,Self-harm and interpersonal violence,Percent,2005,0.007887850570980258,0.009087759791304996,0.00641074354738569
Deaths,Portugal,Both,All ages,Chronic respiratory diseases,Percent,2000,0.05348326735006896,0.05704111872148602,0.04862123346249535
Deaths,Tunisia,Both,All ages,Self-harm and interpersonal violence,Percent,2000,0.009726773130897398,0.012033532974155419,0.008233540230942513
Deaths,Czechia,Both,All ages,Self-harm and interpersonal violence,Percent,2005,0.0181908613007032,0.018775566466075543,0.017671211961374635
Deaths,Niue,Both,All ages,Diabetes and kidney diseases,Percent,2000,0.15044514349938748,0.17656860147182335,0.1354950807779059
Deaths,Malaysia,Both,All ages,Chronic respiratory diseases,Percent,2000,0.06327592114124513,0.06793096716379532,0.050342496562534964
Deaths,Dominica,Both,All ages,Substance use disorders,Percent,2005,0.005622390615739988,0.006338705267640203,0.004533397017238011
Deaths,Dominica,Both,All ages,Diabetes and kidney diseases,Percent,2005,0.132969550762432,0.14142400265243443,0.123611277141884
Deaths,Denmark,Both,All ages,Substance use disorders,Percent,2005,0.01895783343547641,0.019790701002940607,0.018076294193806516
Deaths,Denmark,Both,All ages,Diabetes and kidney diseases,Percent,2005,0.040643536793684924,0.042953748697741684,0.03737086126294738
Deaths,Iran (Islamic Republic of),Both,All ages,Diabetes and kidney diseases,Percent,2005,0.043574868743841755,0.046220338289429744,0.040267301735393994
Deaths,Costa Rica,Both,All ages,Maternal and neonatal disorders,Percent,2005,0.02435916235897234,0.02829116791619378,0.021777669706741703
Deaths,Costa Rica,Both,All ages,Substance use disorders,Percent,2005,0.004589645519261577,0.004919994389436733,0.004254247050084546
Deaths,Costa Rica,Both,All ages,Diabetes and kidney diseases,Percent,2005,0.07162609461618287,0.07531954587496198,0.06587742145631928
Deaths,Democratic Republic of the Congo,Both,All ages,Chronic respiratory diseases,Percent,2000,0.022167990878586286,0.032135995537892356,0.015276299414070228
Deaths,San Marino,Both,All ages,Chronic respiratory diseases,Percent,2005,0.03266449489179602,0.037677390112159315,0.027817111640848706
Deaths,Barbados,Both,All ages,Chronic respiratory diseases,Percent,2000,0.018831309606684714,0.021025512984796643,0.01668701468388028
Deaths,Tonga,Both,All ages,Chronic respiratory diseases,Percent,2000,0.07377061280871205,0.08098449551931516,0.0655809567400198
Deaths,Switzerland,Both,All ages,Maternal and neonatal disorders,Percent,2005,0.002743636355652527,0.0030198412865761223,0.0024480122911289606
Deaths,Switzerland,Both,All ages,Substance use disorders,Percent,2005,0.00784465542111098,0.008213403812561257,0.007490017133801316
Deaths,Switzerland,Both,All ages,Diabetes and kidney diseases,Percent,2005,0.04436894959568299,0.04758228624350594,0.03878815436828895
Deaths,Ghana,Both,All ages,Chronic respiratory diseases,Percent,2005,0.02121084195865221,0.024541722359715232,0.014450828879764819
Deaths,Portugal,Both,All ages,Substance use disorders,Percent,2000,0.001897800656579644,0.002019406070457223,0.0017811753290038292
Deaths,Portugal,Both,All ages,Diabetes and kidney diseases,Percent,2000,0.060888077978269756,0.06341175362107383,0.056654320843118444
Deaths,Zambia,Both,All ages,Chronic respiratory diseases,Percent,2005,0.012233815591149746,0.014280178133380898,0.010307835433125427
Deaths,Croatia,Both,All ages,Cardiovascular diseases,Percent,2000,0.5142331818190038,0.5287383751332217,0.4838642909647194
Deaths,Finland,Both,All ages,Self-harm and interpersonal violence,Percent,2005,0.025364273829959844,0.026068902616333628,0.0247219957938381
Deaths,Philippines,Both,All ages,Cardiovascular diseases,Percent,2005,0.2868710909484803,0.29953058160034723,0.25164765309710546
Deaths,Hungary,Both,All ages,Chronic respiratory diseases,Percent,2005,0.036570105847974606,0.04292621161051645,0.033916772917195706
Deaths,Burundi,Both,All ages,Maternal and neonatal disorders,Percent,2005,0.09183974504759614,0.10652174457706241,0.07830863021609112
Deaths,Philippines,Both,All ages,Chronic respiratory diseases,Percent,2005,0.05176425415960369,0.05732146740905333,0.048804989569022204
Deaths,Maldives,Both,All ages,Cardiovascular diseases,Percent,2000,0.3195118117884246,0.3402529680334583,0.2983787716445071
Deaths,Indonesia,Both,All ages,Chronic respiratory diseases,Percent,2000,0.05604425719832458,0.060492728126168724,0.050175925714200875
Deaths,Somalia,Both,All ages,Self-harm and interpersonal violence,Percent,2000,0.014943652332776648,0.018973389470656136,0.011419666300616641
Deaths,Sudan,Both,All ages,Cardiovascular diseases,Percent,2005,0.26837348615767365,0.3102923571593949,0.22663580057562188
Deaths,Tokelau,Both,All ages,Cardiovascular diseases,Percent,2005,0.3872707098169271,0.4116962514617419,0.35644031409813276
Deaths,Croatia,Both,All ages,Maternal and neonatal disorders,Percent,2000,0.0035611537824493497,0.0038765842419966673,0.0032697595584828603
Deaths,Bahrain,Both,All ages,Cardiovascular diseases,Percent,2000,0.32600634736730283,0.3376315544645438,0.3129958030424203
